SrNo,TrackID,TrackName,AlbumName,Artist,ReleaseDate,Popularity,Length,Genre,Month,Year
49,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,2001,Dr. Dre,16-11-1999,82,161506,gangster rap,11,1999
50,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,2001,Dr. Dre,16-11-1999,82,161506,hip hop,11,1999
51,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,2001,Dr. Dre,16-11-1999,82,161506,rap,11,1999
52,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,2001,Dr. Dre,16-11-1999,82,161506,west coast rap,11,1999
53,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,2001,Snoop Dogg,16-11-1999,82,161506,g funk,11,1999
54,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,2001,Snoop Dogg,16-11-1999,82,161506,gangster rap,11,1999
55,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,2001,Snoop Dogg,16-11-1999,82,161506,hip hop,11,1999
56,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,2001,Snoop Dogg,16-11-1999,82,161506,pop rap,11,1999
57,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,2001,Snoop Dogg,16-11-1999,82,161506,rap,11,1999
58,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,2001,Snoop Dogg,16-11-1999,82,161506,west coast rap,11,1999
59,25FTMokYEbEWHEdss5JLZS,Teenage Dirtbag,Wheatus,Wheatus,15-02-1999,80,241666,pop rock,2,1999
62,5XVjNRubJUW0iPhhSWpLCj,Better Off Alone,Who Needs Guitars Anyway?,Alice Deejay,01-10-2000,78,214883,eurodance,10,2000
63,3XKIUb7HzIF1Vu9usunMzc,Maria Maria (feat. The Product G&B),Supernatural (Remastered),Santana,15-06-1999,77,261973,blues rock,6,1999
64,3XKIUb7HzIF1Vu9usunMzc,Maria Maria (feat. The Product G&B),Supernatural (Remastered),Santana,15-06-1999,77,261973,classic rock,6,1999
65,3XKIUb7HzIF1Vu9usunMzc,Maria Maria (feat. The Product G&B),Supernatural (Remastered),Santana,15-06-1999,77,261973,mexican classic rock,6,1999
66,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,2001,Dr. Dre,16-11-1999,81,222293,g funk,11,1999
67,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,2001,Dr. Dre,16-11-1999,81,222293,gangster rap,11,1999
68,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,2001,Dr. Dre,16-11-1999,81,222293,hip hop,11,1999
69,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,2001,Dr. Dre,16-11-1999,81,222293,rap,11,1999
70,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,2001,Dr. Dre,16-11-1999,81,222293,west coast rap,11,1999
71,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,2001,Eminem,16-11-1999,81,222293,detroit hip hop,11,1999
72,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,2001,Eminem,16-11-1999,81,222293,hip hop,11,1999
73,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,2001,Eminem,16-11-1999,81,222293,rap,11,1999
74,52LJ3hyknOijCrE5gCD0rE,L'Amour Toujours,L'Amour Toujours,Gigi D'Agostino,23-05-2001,77,242053,eurodance,5,2001
75,52LJ3hyknOijCrE5gCD0rE,L'Amour Toujours,L'Amour Toujours,Gigi D'Agostino,23-05-2001,77,242053,italo dance,5,2001
76,1ZozJfi8u9cO2Ob8KwiwNT,Higher,Human Clay,Creed,01-01-1999,77,316733,alternative metal,1,1999
77,1ZozJfi8u9cO2Ob8KwiwNT,Higher,Human Clay,Creed,01-01-1999,77,316733,nu metal,1,1999
