,genre,track_count,index,track_popularity,danceability,energy,instrumentalness,liveness,speechiness,loudness,tempo,valence
belgian_edm,belgian edm,3,belgian_edm,70.0,0.798,0.6933333333333334,0.0008803333333333333,0.09306666666666667,0.11153333333333333,-6.548333333333333,123.01633333333332,0.437
uk_hip_hop,uk hip hop,4,uk_hip_hop,67.5,0.8275000000000001,0.774,0.0,0.1285,0.16092499999999998,-6.014,117.41149999999999,0.7367499999999999
indie_poptimism,indie poptimism,14,indie_poptimism,75.42857142857143,0.6430714285714286,0.6570714285714285,0.00038330857142857135,0.17985,0.07765714285714287,-6.125928571428571,111.9592142857143,0.457
neo-singer-songwriter,neo-singer-songwriter,5,neo-singer-songwriter,72.2,0.6306,0.5267999999999999,0.0002136,0.1826,0.03296,-6.9918000000000005,110.52740000000001,0.37479999999999997
lgbtq+_hip_hop,lgbtq+ hip hop,13,lgbtq+_hip_hop,78.23076923076923,0.7243846153846154,0.6343846153846153,0.00016901846153846158,0.23018461538461538,0.12483846153846152,-6.311000000000001,133.97907692307692,0.5350769230769231
pop_edm,pop edm,10,pop_edm,75.0,0.7296,0.7587,0.0010118599999999998,0.13559000000000002,0.07540000000000001,-4.507900000000001,119.7086,0.5346
folk-pop,folk-pop,17,folk-pop,75.52941176470588,0.5966470588235294,0.664764705882353,0.0008924305882352941,0.13632352941176473,0.03804117647058823,-6.555882352941175,103.01088235294117,0.4364117647058824
bergen_indie,bergen indie,1,bergen_indie,77.0,0.864,0.495,0.000133,0.0992,0.037,-7.036,129.062,0.72
nz_pop,nz pop,9,nz_pop,67.88888888888889,0.7181111111111111,0.5123333333333333,5.061666666666667e-05,0.19345555555555558,0.08892222222222222,-8.127666666666666,109.49988888888889,0.5577777777777777
k-rap,k-rap,1,k-rap,75.0,0.727,0.937,0.0,0.091,0.286,-2.871,132.067,0.749
korean_old_school_hip_hop,korean old school hip hop,1,korean_old_school_hip_hop,75.0,0.727,0.937,0.0,0.091,0.286,-2.871,132.067,0.749
swedish_synthpop,swedish synthpop,6,swedish_synthpop,71.5,0.7128333333333332,0.7678333333333334,1.6616666666666666e-05,0.11625,0.03961666666666667,-4.175333333333334,120.97433333333333,0.4373333333333333
brostep,brostep,16,brostep,75.3125,0.6591875,0.7887500000000001,0.002577306875,0.20765625,0.07566874999999999,-3.91525,121.40393750000001,0.4633125
complextro,complextro,7,complextro,75.14285714285714,0.6261428571428571,0.7504285714285714,1.1415714285714286e-05,0.1425,0.07405714285714285,-3.7627142857142855,120.63214285714285,0.3821428571428572
canadian_electropop,canadian electropop,1,canadian_electropop,69.0,0.697,0.529,0.896,0.0895,0.0338,-8.838,155.974,0.486
grave_wave,grave wave,1,grave_wave,69.0,0.697,0.529,0.896,0.0895,0.0338,-8.838,155.974,0.486
israeli_pop,israeli pop,2,israeli_pop,74.5,0.713,0.6779999999999999,4.105e-05,0.288,0.12905,-7.334,109.48349999999999,0.30665000000000003
israeli_rock,israeli rock,1,israeli_rock,69.0,0.826,0.668,6.92e-05,0.167,0.0571,-6.329,118.99,0.534
deep_euro_house,deep euro house,4,deep_euro_house,73.75,0.76275,0.71975,0.0003766575,0.258975,0.044475,-6.529249999999999,121.26225,0.6
sertanejo,sertanejo,1,sertanejo,66.0,0.65,0.946,0.0,0.979,0.0981,-5.326,96.033,0.669
sertanejo_pop,sertanejo pop,1,sertanejo_pop,66.0,0.65,0.946,0.0,0.979,0.0981,-5.326,96.033,0.669
sertanejo_universitario,sertanejo universitario,2,sertanejo_universitario,69.0,0.6859999999999999,0.842,7.35e-06,0.5885,0.17255,-5.6995000000000005,147.054,0.7085
chill_pop,chill pop,2,chill_pop,92.0,0.445,0.537,1.65e-05,0.0944,0.04,-8.532,122.769,0.131
irish_pop,irish pop,2,irish_pop,75.5,0.33799999999999997,0.44899999999999995,0.0765,0.13865,0.03945,-8.052,132.327,0.189
seattle_hip_hop,seattle hip hop,5,seattle_hip_hop,76.6,0.6988000000000001,0.7048,1.41e-05,0.10258,0.12764,-5.937,111.6472,0.5433999999999999
disco,disco,1,disco,82.0,0.794,0.811,1.07e-06,0.101,0.038,-8.966,116.047,0.862
stomp_pop,stomp pop,7,stomp_pop,76.28571428571429,0.5444285714285715,0.7134285714285714,0.10512342857142855,0.2128714285714286,0.12794285714285716,-6.219571428571427,112.0457142857143,0.383
canadian_contemporary_r&b,canadian contemporary r&b,32,canadian_contemporary_r&b,82.125,0.5998125,0.6270781249999999,0.008986615625,0.148015625,0.08407187499999999,-6.601593750000001,123.60084375,0.38084375
