,artist,track_count,index,track_popularity,danceability,energy,instrumentalness,liveness,speechiness,loudness,tempo,valence
The_Goo_Goo_Dolls,The Goo Goo Dolls,1,The_Goo_Goo_Dolls,59.0,0.338,0.685,0.000512,0.109,0.0322,-5.178,102.192,0.221
Madonna,Madonna,5,Madonna,67.8,0.7174,0.8176,0.036842,0.15484,0.06709999999999999,-6.1294,123.0118,0.5912
Elvis_Presley,Elvis Presley,1,Elvis_Presley,57.0,0.597,0.97,0.205,0.133,0.0502,-5.972,114.999,0.717
Junkie_XL,Junkie XL,1,Junkie_XL,57.0,0.597,0.97,0.205,0.133,0.0502,-5.972,114.999,0.717
N.O.R.E.,N.O.R.E.,1,N.O.R.E.,56.0,0.791,0.863,1.13e-06,0.27,0.151,-6.118,97.035,0.742
Kelly_Clarkson,Kelly Clarkson,9,Kelly_Clarkson,66.55555555555556,0.562,0.7413333333333333,0.0068938766666666665,0.11969999999999999,0.04571111111111111,-4.83811111111111,137.13644444444444,0.40511111111111114
Faith_Evans,Faith Evans,1,Faith_Evans,56.0,0.489,0.757,0.0,0.234,0.0926,-4.062,168.004,0.567
Killer_Mike,Killer Mike,1,Killer_Mike,55.0,0.814,0.852,1.32e-06,0.0288,0.401,-6.176,184.682,0.717
I-20,I-20,2,I-20,57.5,0.787,0.6265000000000001,0.0,0.1,0.1149,-4.8085,142.4455,0.28800000000000003
LL_COOL_J,LL COOL J,3,LL_COOL_J,56.333333333333336,0.6973333333333334,0.7496666666666667,8.333333333333334e-06,0.16616666666666666,0.12313333333333332,-5.114,92.69266666666665,0.5306666666666667
Nas,Nas,2,Nas,58.0,0.7775,0.7875,0.0,0.1688,0.2235,-4.148,94.357,0.734
Cory_Rooney,Cory Rooney,1,Cory_Rooney,54.0,0.718,0.69,0.0,0.271,0.265,-4.382,93.401,0.774
Poke_and_Tone,Poke and Tone,1,Poke_and_Tone,54.0,0.718,0.69,0.0,0.271,0.265,-4.382,93.401,0.774
Holly_Valance,Holly Valance,1,Holly_Valance,54.0,0.705,0.717,0.461,0.0701,0.125,-4.944,97.036,0.554
A1,A1,1,A1,53.0,0.519,0.874,0.0,0.243,0.034,-5.122,96.072,0.572
Liberty_X,Liberty X,1,Liberty_X,53.0,0.796,0.617,0.0,0.0495,0.0619,-6.198,103.858,0.72
City_High,City High,1,City_High,53.0,0.801,0.66,9.5e-06,0.0748,0.286,-8.267,93.036,0.295
